DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2004-0659-TZA,No,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,,,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,Dar-es-salaam,,,No,No,No,,9.1,Moment Magnitude,3.295,95.982,,2004,12,26,2004,12,26,10,,,,,,,,,,,61.98958593,"[{""adm1_code"":48358,""adm1_name"":""Dar-es-salaam""}]",2014-03-27,2023-09-25
2004-0669-DEU,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000da1z,,DEU,Germany,Western Europe,Europe,"Waldkirch, Emmendingen towns (Freiburg district, Baden-Wuerttemberg Province)",,,No,No,No,,4.8,Moment Magnitude,48.115,8.077,,2004,12,5,2004,12,5,,,150,,150,,,8000,12905,12000,19358,61.98958593,"[{""adm2_code"":16526,""adm2_name"":""Freiburg""}]",2005-02-02,2023-09-25
2004-0670-SVN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000d00p,,SVN,Slovenia,Southern Europe,Europe,"Kobarid, Bovec districts (Goriska Province)",,"Slide (land, mud, snow, rock)",No,No,No,,5.2,Moment Magnitude,46.296,13.641,,2004,7,12,2004,7,12,1,5,600,,605,,,1000,1613,10000,16132,61.98958593,"[{""adm2_code"":25523,""adm2_name"":""Bovec""},{""adm2_code"":25528,""adm2_name"":""Kobarid""}]",2005-02-02,2023-09-25
2004-0671-BDI,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000cmxd,,BDI,Burundi,Sub-Saharan Africa,Africa,"Ruyaga village (Rugombo district, Cibitoke province)",,,No,No,No,,4.7,Moment Magnitude,-3.393,29.558,,2004,2,24,2004,2,24,3,,,120,120,,,,,,,61.98958593,"[{""adm2_code"":40610,""adm2_name"":""Rugombo""}]",2005-02-03,2023-09-25
2004-0680-CHN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000cu4k,,CHN,China,Eastern Asia,Asia,"Delingha area (Haixi Mongol and Tibetan district, Qinghai Sheng province)",,,No,No,No,,5.5,Moment Magnitude,37.506,96.758,,2004,5,4,2004,5,4,,,,4199,4199,,,,,,,61.98958593,"[{""adm2_code"":13214,""adm2_name"":""Haixi Mongol and Tibetan""}]",2005-03-09,2023-09-25
2005-0016-IRN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000dd01,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Agh Ghala area (Gorgan district, Golestan province)",,,No,No,No,,5.4,Moment Magnitude,37.103,54.574,,2005,1,10,2005,1,10,,110,,,110,,,,,,,64.09274026,"[{""adm2_code"":40969,""adm2_name"":""Gorgan""}]",2014-03-07,2023-09-25
2005-0031-IDN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000de4m,,IDN,Indonesia,South-eastern Asia,Asia,Kota Palu district (Sulawesi Tengah province),,,No,No,No,,6.3,Moment Magnitude,-1.198,119.933,,2005,1,23,2005,1,23,1,4,680,,684,,,,,,,64.09274026,"[{""adm2_code"":73741,""adm2_name"":""Kota Palu""}]",2014-02-25,2023-09-25
2005-0070-TUR,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000debc,,TUR,Türkiye,Western Asia,Asia,"Batman city (Merkez district, Batman province), Siirt city (Merkez district, Siirt province), Adana, Van, Hakkari provinces",,,No,No,No,,5.9,Moment Magnitude,37.622,43.703,,2005,1,25,2005,1,25,2,22,400,,422,,,,,,,64.09274026,"[{""adm1_code"":3017,""adm1_name"":""Adana""},{""adm1_code"":3051,""adm1_name"":""Hakkari""},{""adm1_code"":3093,""adm1_name"":""Van""},{""adm2_code"":27607,""adm2_name"":""Merkez""},{""adm2_code"":28246,""adm2_name"":""Merkez""}]",2006-01-17,2023-09-25
2005-0092-IRN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000dgpx,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Rooein Abad, Akbar, Asghar, Dehaafkan, Behabad, Sardkooyeh, Fathabad, Motaharabad, Eslam Abad, Arjomandieh, Baharestan villages (Zarand district, Kerman province)",,,No,No,No,1785,6.4,Moment Magnitude,30.754,56.816,,2005,2,22,2005,2,22,612,1411,93355,,94766,,,,,80000,124819,64.09274026,"[{""adm2_code"":41141,""adm2_name"":""Zarand""}]",2005-07-28,2023-09-25
2005-0126-TUR,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000dj5f,,TUR,Türkiye,Western Asia,Asia,Karliova district (Bingol province),,,No,No,No,,5.8,Moment Magnitude,39.354,40.89,,2005,3,14,2005,3,14,,18,2250,,2268,,,,,,,64.09274026,"[{""adm2_code"":27622,""adm2_name"":""Karliova""}]",2005-05-03,2023-09-25
2005-0129-JPN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000djku,,JPN,Japan,Eastern Asia,Asia,Hukuoka province,,"Slide (land, mud, snow, rock)",No,No,No,,6.6,Moment Magnitude,33.807,130.131,,2005,3,20,2005,3,20,1,735,2800,,3535,,,120000,187229,400000,624096,64.09274026,"[{""adm1_code"":1656,""adm1_name"":""Hukuoka""}]",2011-04-27,2023-09-25
2005-0132-ZAF,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000dhva,,ZAF,South Africa,Sub-Saharan Africa,Africa,"Klerksdorp, Stilfontein villages (Dr Kenneth Kaunda District Municipality district, North West province)",,,No,No,No,,5,Moment Magnitude,-26.913,26.789,,2005,3,9,2005,3,9,2,58,,,58,,,10000,15602,20000,31205,64.09274026,"[{""adm2_code"":77350,""adm2_name"":""Dr Kenneth Kaunda District Municipality""}]",2005-04-04,2023-09-25
2005-0160-IDN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IDN,Indonesia,South-eastern Asia,Asia,"Simeulue, Aceh Singkil districts (Nangroe Aceh Darussalam province) Nias, Nias Selatan districts (Sumatera Utara province)",,Tsunami/Tidal wave,Yes,No,No,3629,8.6,Moment Magnitude,2.085,97.108,,2005,3,28,2005,3,28,915,1146,104167,,105313,,,,,,,64.09274026,"[{""adm2_code"":73627,""adm2_name"":""Aceh Singkil""},{""adm2_code"":73850,""adm2_name"":""Simeulue""},{""adm2_code"":73811,""adm2_name"":""Nias Selatan""},{""adm2_code"":73812,""adm2_name"":""Nias""}]",2006-03-17,2023-09-25
2005-0211-JPN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000dnsk,,JPN,Japan,Eastern Asia,Asia,"Hukuoka, Saga provinces",,"Slide (land, mud, snow, rock)",No,No,No,,5.5,Moment Magnitude,33.637,130.179,,2005,4,19,2005,4,19,,58,837,,895,,,,,,,64.09274026,"[{""adm1_code"":1656,""adm1_name"":""Hukuoka""},{""adm1_code"":1683,""adm1_name"":""Saga""}]",2005-05-03,2023-09-25
2005-0240-SLV,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000dpwb,,SLV,El Salvador,Latin America and the Caribbean,Americas,"Apaneca district (Ahuachapan province), Juayua district (Sonsonate province)",,"Slide (land, mud, snow, rock)",No,No,No,,4.8,Moment Magnitude,13.835,-89.759,,2005,5,5,2005,5,5,1,1,750,,751,,,,,,,64.09274026,"[{""adm2_code"":15567,""adm2_name"":""Apaneca""},{""adm2_code"":15794,""adm2_name"":""Juayua""}]",2005-06-06,2023-09-25
2005-0321-CHL,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000dsw1,,CHL,Chile,Latin America and the Caribbean,Americas,"Iquique, Alto Hospicio towns (Iquique district, Tarapaca province), Pozo Almonte, Pica, Camina, Huara, Colchane towns (Tamarugal district, Tarapaca province)",,"Slide (land, mud, snow, rock)",No,No,Yes,150,7.8,Moment Magnitude,-19.987,-69.197,,2005,6,13,2005,6,13,11,182,27463,,27645,,,,,5000,7801,64.09274026,"[{""adm2_code"":91517,""adm2_name"":""Iquique""},{""adm2_code"":91518,""adm2_name"":""Tamarugal""}]",2007-02-22,2023-09-25
2005-0321-PER,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000dsw1,,PER,Peru,Latin America and the Caribbean,Americas,"Arequipa district (Arequipa province), Ilo, General Sanchez Cerro, Mariscal Nieto districts (Moquega province), Candarave, Jorge Basadre, Tacna, Tarata districts (Tacna province) ; Punta de Bombon (Islay district, Arequipa province)",,,No,No,No,,7.8,Moment Magnitude,-19.987,-69.197,,2005,6,13,2005,6,13,,,,,,,,,,50,78,64.09274026,"[{""adm2_code"":24039,""adm2_name"":""Arequipa""},{""adm2_code"":24045,""adm2_name"":""Islay""},{""adm2_code"":24151,""adm2_name"":""General Sánchez Cerro""},{""adm2_code"":24152,""adm2_name"":""Ilo""},{""adm2_code"":24153,""adm2_name"":""Mariscal Nieto""},{""adm2_code"":24189,""adm2_name"":""Candarave""},{""adm2_code"":24190,""adm2_name"":""Jorge Basadre""},{""adm2_code"":24191,""adm2_name"":""Tacna""},{""adm2_code"":24192,""adm2_name"":""Tarata""}]",2014-02-19,2023-09-25
2005-0328-PNG,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000ds6y,,PNG,Papua New Guinea,Melanesia,Oceania,Lae district (Morobe province),,,No,No,No,,6.1,Moment Magnitude,-6.319,146.846,,2005,6,4,2005,6,4,1,,,200,200,,,,,,,64.09274026,"[{""adm2_code"":37523,""adm2_name"":""Lae""}]",2005-06-24,2023-09-25
2005-0329-TUR,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000dsbj,,TUR,Türkiye,Western Asia,Asia,Karliova district (Bingol province),,,No,No,No,,5.6,Moment Magnitude,39.22,41.08,,2005,6,6,2005,6,6,,54,300,,354,,,,,,,64.09274026,"[{""adm2_code"":27622,""adm2_name"":""Karliova""}]",2006-01-17,2023-09-25
2005-0558-PER,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000e09h,,PER,Peru,Latin America and the Caribbean,Americas,"Moyobamba, Lamas districts (San Martin province)",,,No,No,No,,7.5,Moment Magnitude,-5.678,-76.398,,2005,9,26,2005,9,26,5,59,2446,,2505,,,,,,,64.09274026,"[{""adm2_code"":24182,""adm2_name"":""Lamas""},{""adm2_code"":24184,""adm2_name"":""Moyobamba""}]",2014-02-27,2023-09-25
2005-0575-AFG,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000e12e,,AFG,Afghanistan,Southern Asia,Asia,Jalalabad district (Nangarhar province),,,No,No,No,,7.6,Moment Magnitude,34.539,73.588,,2005,10,8,2005,10,8,1,,,,,,,,,50,78,64.09274026,"[{""adm2_code"":99913,""adm2_name"":""Jalalabad""}]",2014-03-26,2023-09-25
2005-0575-IND,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000e12e,,IND,India,Southern Asia,Asia,Administrative unit not available districts (Jammu and Kashmir province),,Fire,Yes,No,No,,7.6,Moment Magnitude,34.539,73.588,,2005,10,8,2005,10,8,1309,6622,,150000,156622,,,,,1000000,1560239,64.09274026,"[{""adm2_code"":40410,""adm2_name"":""Administrative unit not available""},{""adm2_code"":40414,""adm2_name"":""Administrative unit not available""},{""adm2_code"":72802,""adm2_name"":""Administrative unit not available""},{""adm2_code"":72789,""adm2_name"":""Administrative unit not available""},{""adm2_code"":72810,""adm2_name"":""Administrative unit not available""}]",2014-03-26,2023-09-25
2005-0575-PAK,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000e12e,,PAK,Pakistan,Southern Asia,Asia,"Bisham Tehsil, Chakisar Tehsil areas (Shangla District district, North-West Frontier province), Palas Sub-Division area (Kohistan District district, North-West Frontier province), Abbottabad District, Mansehra District, Batagram District districts (North-West Frontier province), Gujranwala District, Gujrat District, Rawalpindi District districts (Punjab province), Islamabad District district (Islamabad province),",,,Yes,No,No,,7.6,Moment Magnitude,34.539,73.588,,2005,10,8,2005,10,8,73338,128309,,5000000,5128309,5200000,8113243,,,5200000,8113243,64.09274026,"[{""adm2_code"":23638,""adm2_name"":""Islamabad District""},{""adm2_code"":40329,""adm2_name"":""Abbottabad District""},{""adm2_code"":40331,""adm2_name"":""Batagram District""},{""adm2_code"":40340,""adm2_name"":""Kohistan District""},{""adm2_code"":40344,""adm2_name"":""Mansehra District""},{""adm2_code"":40348,""adm2_name"":""Shangla District""},{""adm2_code"":23674,""adm2_name"":""Rawalpindi District""},{""adm2_code"":40360,""adm2_name"":""Gujranwala District""},{""adm2_code"":40361,""adm2_name"":""Gujrat District""}]",2014-03-11,2023-09-25
2005-0651-CHN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000e4wu,,CHN,China,Eastern Asia,Asia,Jiujiang district (Jiangxi Sheng province),,,No,No,No,166,5.2,Moment Magnitude,29.671,115.688,,2005,11,26,2005,11,26,16,8000,607500,,615500,,,,,,,64.09274026,"[{""adm2_code"":13160,""adm2_name"":""Jiujiang""}]",2008-05-08,2023-09-25
2005-0654-IRN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000e501,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Ghurzin, Kosheh, Viranagh, Tourian, Tonban, Ramkan, Gharbdan, Karavan, Khaledin, Giahdan villages (Geshm district, Hormozgan province)",,,No,No,No,,5.9,Moment Magnitude,26.774,55.858,,2005,11,27,2005,11,27,13,100,,,100,,,,,,,64.09274026,"[{""adm2_code"":40963,""adm2_name"":""Geshm""}]",2006-03-03,2023-09-25
2005-0671-COD,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000e5jx,,COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,"Kalemie city (Tanganyka district, Katanga province)",,,No,No,No,,6.8,Moment Magnitude,-6.224,29.83,,2005,12,5,2005,12,5,6,5,,1500,1505,,,,,,,64.09274026,"[{""adm2_code"":14986,""adm2_name"":""Tanganyka""}]",2005-12-15,2023-09-25
2005-0671-TZA,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000e5jx,,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,Kigoma province,,,No,No,No,,6.8,Moment Magnitude,-6.224,29.83,,2005,12,5,2005,12,5,2,,5000,,5000,,,,,,,64.09274026,"[{""adm1_code"":48362,""adm1_name"":""Kigoma""}]",2006-01-20,2023-09-25
2005-0686-AFG,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000e61s,,AFG,Afghanistan,Southern Asia,Asia,"Alishang district (Laghman province), Jalalabad district (Nangarhar province), Badakhsan province",,,No,No,No,,6.5,Moment Magnitude,36.357,71.093,,2005,12,13,2005,12,13,5,1,500,,501,,,,,,,64.09274026,"[{""adm1_code"":272,""adm1_name"":""Badakhshan""},{""adm2_code"":3645,""adm2_name"":""Alishang""},{""adm2_code"":99913,""adm2_name"":""Jalalabad""}]",2014-02-28,2023-09-25
2005-0738-IRN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000dj38,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,Saravan district (Sistan-o baluchestan province),,,No,No,No,,6,Moment Magnitude,27.095,61.887,,2005,3,13,2005,3,13,,,21912,,21912,,,,,,,64.09274026,"[{""adm2_code"":41090,""adm2_name"":""Saravan""}]",2006-01-18,2023-09-25
2005-0740-CHN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000dwrc,,CHN,China,Eastern Asia,Asia,"Huize area (Qujing district, Yunnan Sheng province)",,,No,No,No,,5.2,Moment Magnitude,26.569,103.036,,2005,8,5,2005,8,5,,9,18500,,18509,,,,,,,64.09274026,"[{""adm2_code"":13304,""adm2_name"":""Qujing""}]",2006-01-20,2023-09-25
2006-0061-CHN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000e82j,,CHN,China,Eastern Asia,Asia,"Mojiang area (Pu'er district, Yunnan Sheng province)",,,No,No,No,,4.6,Moment Magnitude,23.282,101.693,,2006,1,12,2006,1,12,,1,,68760,68761,,,,,6900,10429,66.16033056,"[{""adm2_code"":13310,""adm2_name"":""Pu'er""}]",2006-02-02,2023-09-25
2006-0100-MOZ,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000eamh,,MOZ,Mozambique,Sub-Saharan Africa,Africa,"Machaze, Mossurize, Cidade de Chimoio districts (Manica province), Cidade da Beira district (Sofala province)",,,No,No,No,,7,Moment Magnitude,-21.324,33.583,,2006,2,22,2006,2,22,4,36,,1440,1476,,,,,,,66.16033056,"[{""adm2_code"":21875,""adm2_name"":""Machaze""},{""adm2_code"":21878,""adm2_name"":""Mossurize""},{""adm2_code"":65251,""adm2_name"":""Cidade de Chimoio""},{""adm2_code"":65263,""adm2_name"":""Cidade da Beira""}]",2009-12-09,2023-09-25
2006-0123-IRN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000eb19,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Faryab village (Kahnug district, Kerman province), Baft, Jiroft districts (Kerman province)",,,No,No,No,,6,Moment Magnitude,28.12,56.865,,2006,2,28,2006,2,28,,6,7000,,7006,,,,,,,66.16033056,"[{""adm2_code"":40890,""adm2_name"":""Baft""},{""adm2_code"":40981,""adm2_name"":""Jiroft""},{""adm2_code"":40985,""adm2_name"":""Kahnug""}]",2014-03-07,2023-09-25
2006-0148-BGR,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000eaez,,BGR,Bulgaria,Eastern Europe,Europe,"Murgovo village (Kardzhali district, Kardzhali province)",,,No,No,No,,4.6,Moment Magnitude,41.708,25.544,,2006,2,20,2006,2,20,,2,525,,527,,,,,,,66.16033056,"[{""adm2_code"":11907,""adm2_name"":""Kardzhali""}]",2006-03-20,2023-09-25
2006-0149-DZA,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000ecjv,,DZA,Algeria,Northern Africa,Africa,"Laalam village (Tamridjet district, Bejaia province)",,,No,No,No,,5.2,Moment Magnitude,36.623,5.328,,2006,3,20,2006,3,20,4,9,160,150,319,,,,,,,66.16033056,"[{""adm2_code"":37915,""adm2_name"":""Tamridjet""}]",2006-05-03,2023-09-25
2006-0153-IRN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000edad,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Aleshtar village (Selseleh district, Lorestan province), Silakhor village (Dorud district, Lorestan province), Borugerd, Khorramabad districts (Lorestan province)",,,No,No,No,5315,6.1,Moment Magnitude,33.5,48.78,,2006,3,31,2006,3,31,63,1418,160000,,161418,,,,,42262,63878,66.16033056,"[{""adm2_code"":40911,""adm2_name"":""Borugerd""},{""adm2_code"":40937,""adm2_name"":""Dorud""},{""adm2_code"":41001,""adm2_name"":""Khorramabad""},{""adm2_code"":41097,""adm2_name"":""Selseleh""}]",2007-11-08,2023-09-25
2006-0214-RUS,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000ef1h,,RUS,Russian Federation,Eastern Europe,Europe,"Apuka, Khailino and Vyvenka villages, Korf-Tilichiki area (Koryakskiy Okrug province)",,,No,No,No,,7.6,Moment Magnitude,60.949,167.089,,2006,4,20,2006,4,20,,40,12000,,12040,,,,,55000,83131,66.16033056,"[{""adm1_code"":2522,""adm1_name"":""Koryakskiy Okrug""}]",2014-03-25,2023-09-25
2006-0231-IDN,No,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,USGS:usp000ec4d,,IDN,Indonesia,South-eastern Asia,Asia,"Pela, Batu Junku, Waimarot, Wailawa, Waimoly villages (Bata Bual sub-district,Buru district, Maluku Utara province)",,Tsunami/Tidal wave,No,No,No,,6.7,Moment Magnitude,-3.595,127.214,,2006,3,14,2006,3,14,3,2,1200,,1202,,,,,,,66.16033056,"[{""adm2_code"":73665,""adm2_name"":""Buru""}]",2014-02-25,2023-09-25
2006-0239-IRN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000egfm,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,Zarand district (Kerman province),,,No,No,No,,5,Moment Magnitude,30.79,56.7,,2006,5,7,2006,5,7,,70,,,70,,,,,,,66.16033056,"[{""adm2_code"":41141,""adm2_name"":""Zarand""}]",2007-01-03,2023-09-25
2006-0279-IDN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000ej1c,,IDN,Indonesia,South-eastern Asia,Asia,"Kulonprogo, Sleman, Kota Yogyakarta, Gunungkidul, Bantul districts (Daerah Istimewa Yogyakarta province), Purworejo, Kota Klaten, Magelang, Klaten, Boyolali districts (Jawa Tengah province)",,,Yes,No,No,88051,6.3,Moment Magnitude,-7.961,110.446,,2006,5,26,2006,5,26,5778,137883,2340745,699295,3177923,,,40000,60459,3100000,4685587,66.16033056,"[{""adm2_code"":17981,""adm2_name"":""Bantul""},{""adm2_code"":17982,""adm2_name"":""Gunungkidul""},{""adm2_code"":17983,""adm2_name"":""Kota Yogyakarta""},{""adm2_code"":17984,""adm2_name"":""Kulonprogo""},{""adm2_code"":17985,""adm2_name"":""Sleman""},{""adm2_code"":18034,""adm2_name"":""Boyolali""},{""adm2_code"":18042,""adm2_name"":""Klaten""},{""adm2_code"":18050,""adm2_name"":""Magelang""},{""adm2_code"":18055,""adm2_name"":""Purworejo""},{""adm2_code"":73730,""adm2_name"":""Kota Klaten""}]",2008-05-08,2023-09-25
2006-0372-IDN,No,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,USGS:usp000ensm,,IDN,Indonesia,South-eastern Asia,Asia,"Tasikmalaya, Kota Tasikmalaya, Ciamis, Sukabumi, kota Sukabumi, Garut districts (Jawa Barat province), Cilacap, Kebumen, Banyumas districts (Jawa Tengah province), Gunungkidul, Bantul district (Daerah Istimewa Yogyakarta province)",Earthquake,,Yes,No,No,3817,7.7,Moment Magnitude,-9.284,107.419,,2006,7,17,2006,7,17,802,543,35000,,35543,,,1000,1511,55000,83131,66.16033056,"[{""adm2_code"":17981,""adm2_name"":""Bantul""},{""adm2_code"":17982,""adm2_name"":""Gunungkidul""},{""adm2_code"":18031,""adm2_name"":""Banyumas""},{""adm2_code"":18036,""adm2_name"":""Cilacap""},{""adm2_code"":18041,""adm2_name"":""Kebumen""},{""adm2_code"":18012,""adm2_name"":""Garut""},{""adm2_code"":18018,""adm2_name"":""Kota Sukabumi""},{""adm2_code"":18026,""adm2_name"":""Sukabumi""},{""adm2_code"":73667,""adm2_name"":""Ciamis""},{""adm2_code"":73756,""adm2_name"":""Kota Tasikmalaya""},{""adm2_code"":73867,""adm2_name"":""Tasikmalaya""}]",2011-07-28,2023-09-25
2006-0397-CHN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000ep9q,,CHN,China,Eastern Asia,Asia,"Yanjin area (Zhaotong district, Yunnan Sheng province)",,,No,No,No,,4.9,Moment Magnitude,27.995,104.138,,2006,7,22,2006,7,22,22,106,190000,75000,265106,,,,,,,66.16033056,"[{""adm2_code"":13306,""adm2_name"":""Zhaotong""}]",2014-03-11,2023-09-25
2006-0405-AFG,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000epsz,,AFG,Afghanistan,Southern Asia,Asia,Emamsaheb district (Kunduz province),,,No,No,No,,5.6,Moment Magnitude,37.255,68.828,,2006,7,29,2006,7,29,1,,740,195,935,,,,,,,66.16033056,"[{""adm2_code"":3640,""adm2_name"":""Emamsaheb""}]",2011-07-28,2023-09-25
2006-0405-TJK,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000epsz,,TJK,Tajikistan,Central Asia,Asia,"Kumsangir village (Kolhosobadskiy districts, Khatlon province), Panj Jamoat village (Piynjskiy districts, Khatlon province)",,,Yes,Yes,No,257,5.6,Moment Magnitude,37.255,68.828,,2006,7,29,2006,7,29,3,19,15408,,15427,,,,,22000,33253,66.16033056,"[{""adm2_code"":37589,""adm2_name"":""Kolhosobadskiy""},{""adm2_code"":37596,""adm2_name"":""Piynjskiy""}]",2011-07-28,2023-09-25
2006-0464-CHN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000ekvx,,CHN,China,Eastern Asia,Asia,"Xinsi village (Tongwei Xian area, Dingxi district, Gansu Sheng province), Linjian village (Lintan Xian area, Gannan Tibetan district, Gansu Sheng province), Liping village (Hui Xian area, Longnan district, Gansu Sheng province)",,,No,No,No,,4.9,Moment Magnitude,33.068,104.95,,2006,6,20,2006,6,20,,5,125,,130,,,,,,,66.16033056,"[{""adm2_code"":13022,""adm2_name"":""Dingxi""},{""adm2_code"":13023,""adm2_name"":""Longnan""},{""adm2_code"":13027,""adm2_name"":""Gannan Tibetan""}]",2014-03-11,2023-09-25
2006-0475-CHN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000erq0,,CHN,China,Eastern Asia,Asia,"Doushazhen village (Yanjin Xian area, Zhaotong district, Yunnan Sheng province)",,"Slide (land, mud, snow, rock)",No,No,No,,5,Moment Magnitude,28.012,104.151,,2006,8,25,2006,8,25,1,31,45520,,45551,,,,,,,66.16033056,"[{""adm2_code"":13306,""adm2_name"":""Zhaotong""}]",2007-01-03,2023-09-25
2006-0586-CHN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000ew4d,,CHN,China,Eastern Asia,Asia,Hubei Sheng province,,,No,No,No,,4.5,Moment Magnitude,31.56,113.21,,2006,10,27,2006,10,27,,,20000,,20000,,,,,,,66.16033056,"[{""adm1_code"":911,""adm1_name"":""Hubei Sheng""}]",2007-11-08,2023-09-25
2006-0620-CHN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000ewhk,,CHN,China,Eastern Asia,Asia,Chifeng district (Nei Mongol Zizhiqu province),,,No,No,No,,4.7,Moment Magnitude,43.469,119.558,,2006,11,3,2006,11,3,,,12000,,12000,,,,,291,440,66.16033056,"[{""adm2_code"":13194,""adm2_name"":""Chifeng""}]",2014-03-11,2023-09-25
2006-0678-IDN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000f0er,,IDN,Indonesia,South-eastern Asia,Asia,"Muara Sipongi area (Mandailingnatal district, Sumatera Utara province)",,"Slide (land, mud, snow, rock)",No,No,No,,5.8,Moment Magnitude,0.626,99.859,,2006,12,17,2006,12,17,8,200,1000,,1200,,,,,,,66.16033056,"[{""adm2_code"":73787,""adm2_name"":""Mandailingnatal""}]",2008-05-08,2023-09-25
